precinct,maximum_ticketed_car_type,percentage_maximum_ticketed_car_type,maximum_ticketed_vehicle_color,percentage_maximum_ticketed_vehicle_color,maximum_ticketed_violation_code,maximum_ticketed_violation_definition,maximum_ticketed_plate_type,percent_maximum_ticketed_plate_type,quotas_condition_met,max_tickets_issued_time_of_day,collisions,time
1,Van,42.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,commercial,50.0,True,Morning,,1-2014
5,Suburban,33.0,WHITE,34.0,20.0,General No Parking: No parking where parking is not allowed by sign.,passenger,61.0,False,Afternoon,,1-2014
6,Suburban,29.0,WHITE,34.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,63.0,True,Afternoon,,1-2014
7,Suburban,30.0,WHITE,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,64.0,True,Afternoon,,1-2014
9,Suburban,28.0,WHITE,34.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,65.0,True,Afternoon,,1-2014
10,Van,29.0,WHITE,46.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,53.0,True,Afternoon,,1-2014
13,Van,33.0,WHITE,45.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",passenger,51.0,True,Afternoon,,1-2014
14,Van,38.0,WHITE,52.0,69.0,"Failing to show a parking meter receipt, commercial meter zone.",commercial,51.0,True,Afternoon,,1-2014
17,Van,30.0,WHITE,47.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,False,Afternoon,,1-2014
18,Van,32.0,WHITE,45.0,14.0,General No Standing: Standing or parking where standing is not allowed by sign.,passenger,48.0,False,Afternoon,,1-2014
19,Van,36.0,WHITE,39.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,51.0,True,Morning,,1-2014
20,Van,31.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,56.0,False,Morning,,1-2014
22,Delivery Truck,41.0,BROWN,28.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",commercial,58.0,True,Morning,,1-2014
23,Suburban,33.0,WHITE,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,65.0,True,Morning,,1-2014
24,Suburban,28.0,WHITE,37.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,59.0,True,Morning,,1-2014
25,Suburban,33.0,GRAY,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,70.0,False,Morning,,1-2014
26,Suburban,30.0,WHITE,34.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,66.0,True,Morning,,1-2014
28,Suburban,32.0,WHITE,26.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,69.0,True,Morning,,1-2014
30,Suburban,34.0,WHITE,26.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,75.0,False,Morning,,1-2014
32,Suburban,35.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,80.0,False,Morning,,1-2014
33,Suburban,35.0,WHITE,27.0,46.0,"Standing or parking on the roadway side of a vehicle stopped, or parked at the curb.",passenger,74.0,True,Morning,,1-2014
34,Suburban,38.0,WHITE,26.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,78.0,True,Morning,,1-2014
40,Suburban,39.0,GRAY,28.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,,1-2014
41,Suburban,40.0,GRAY,27.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,81.0,True,Morning,,1-2014
42,Suburban,39.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,84.0,True,Morning,,1-2014
43,Suburban,39.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Morning,,1-2014
44,Suburban,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,83.0,True,Morning,,1-2014
45,4 Door Sedan,39.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,,1-2014
46,Suburban,37.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,79.0,True,Morning,,1-2014
47,4 Door Sedan,39.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,89.0,False,Morning,,1-2014
48,Suburban,39.0,GRAY,28.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,84.0,True,Morning,,1-2014
49,4 Door Sedan,40.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Morning,,1-2014
50,4 Door Sedan,38.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Morning,,1-2014
52,Suburban,37.0,GRAY,29.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,83.0,True,Morning,,1-2014
60,Suburban,42.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,,1-2014
61,Suburban,44.0,BLACK,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,87.0,True,Afternoon,,1-2014
62,Suburban,43.0,GRAY,32.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Morning,,1-2014
63,Suburban,39.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,,1-2014
66,Suburban,56.0,GRAY,35.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,85.0,True,Afternoon,,1-2014
67,Suburban,37.0,GRAY,31.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,False,Morning,,1-2014
68,Suburban,41.0,GRAY,30.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,81.0,True,Afternoon,,1-2014
69,Suburban,38.0,GRAY,31.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,89.0,True,Morning,,1-2014
70,Suburban,40.0,GRAY,33.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Afternoon,,1-2014
71,Suburban,41.0,GRAY,33.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,,1-2014
72,Suburban,45.0,GRAY,32.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,86.0,True,Morning,,1-2014
73,Suburban,38.0,GRAY,30.0,71.0,Standing or parking a vehicle without showing a current New York inspection sticker.,passenger,90.0,False,Night,,1-2014
75,Suburban,41.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,89.0,True,Morning,,1-2014
76,Suburban,40.0,GRAY,29.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,78.0,True,Afternoon,,1-2014
77,Suburban,37.0,GRAY,30.0,21.0,Street Cleaning: No parking where parking is not allowed by sign.,passenger,88.0,False,Morning,,1-2014
78,Suburban,45.0,GRAY,34.0,38.0,Parking Meter - Failing to show a receipt or tag in the windshield.,passenger,86.0,True,Afternoon,,1-2014
