Time,Precinct,Rsq,Feature
01-2017,1,0.201428368,Safety
02-2017,1,0.641251138,Safety
03-2017,1,0.632415144,Safety
04-2017,1,0.188932523,Safety
05-2017,1,0.774679756,Safety
06-2017,1,0.381813066,Safety
07-2017,1,0.44346464,Safety
08-2017,1,0.443869453,Safety
09-2017,1,0.702028315,Safety
10-2017,1,0.876736562,Safety
11-2017,1,0.35174354,Safety
12-2017,1,0.711707072,Safety
01-2018,1,0.31471951,Safety
02-2018,1,0.853656451,Safety
03-2018,1,0.645464783,Safety
04-2018,1,0.158065854,Safety
05-2018,1,0.469864212,Safety
06-2018,1,0.393181524,Safety
07-2018,1,-0.073983752,Safety
08-2018,1,0.461709437,Safety
09-2018,1,0.446571923,Safety
10-2018,1,0.265046427,Safety
11-2018,1,0.587984798,Safety
12-2018,1,0.17507622,Safety
01-2019,1,0.371990437,Safety
02-2019,1,0.452416894,Safety
03-2019,1,0.958048826,Safety
04-2019,1,0.305362192,Safety
05-2019,1,0.550728905,Safety
06-2019,1,-0.048447591,Safety
07-2019,1,0.818115881,Safety
08-2019,1,0.277836708,Safety
09-2019,1,0.569856114,Safety
10-2019,1,-0.047225516,Safety
11-2019,1,0.594055771,Safety
12-2019,1,0.383562862,Safety
01-2017,5,0.858734028,Safety
02-2017,5,0.564074608,Safety
03-2017,5,0.021762923,Safety
04-2017,5,0.378123927,Safety
05-2017,5,0.895021971,Safety
06-2017,5,0.062483231,Safety
07-2017,5,0.507789915,Safety
08-2017,5,0.591463526,Safety
09-2017,5,0.66419022,Safety
10-2017,5,0.091319652,Safety
11-2017,5,0.585756138,Safety
12-2017,5,0.383293393,Safety
01-2018,5,0.382208431,Safety
02-2018,5,0.634613004,Safety
03-2018,5,0.816093588,Safety
04-2018,5,0.036601279,Safety
05-2018,5,0.681166371,Safety
06-2018,5,0.147408964,Safety
07-2018,5,0.336654109,Safety
08-2018,5,1.120196213,Safety
09-2018,5,0.633608521,Safety
10-2018,5,0.332167321,Safety
11-2018,5,0.387828267,Safety
12-2018,5,0.357179771,Safety
