,time,prophet_pred,arima_pred,values,precinct_number
108,2022-07-01,19335.37571155773,19089.754854983326,24290.0,1
109,2022-08-01,22939.913295861348,23358.874524875544,22749.0,1
110,2022-09-01,22057.957718765854,23688.894330350944,18869.0,1
111,2022-10-01,24854.44498241663,19481.165950230963,20541.0,1
112,2022-11-01,21095.414896023256,19465.25841683977,18498.0,1
113,2022-12-01,15946.271567754691,19749.525591368158,13640.0,1
114,2023-01-01,21595.60278424037,16691.828032149904,15621.0,1
115,2023-02-01,19391.32089112048,17070.77193043455,17644.0,1
116,2023-03-01,21993.631045488422,19287.57436615382,21866.0,1
117,2023-04-01,18507.86238064078,22187.9212563,17343.0,1
118,2023-05-01,19124.76679833728,18502.23793700169,21028.0,1
119,2023-06-01,15662.594173021029,18976.05539563396,19205.0,1
120,2023-07-01,17906.376459527994,19204.1495352614,,1
121,2023-08-01,21323.03511433974,19391.516176138317,,1
122,2023-09-01,20354.80406386829,19459.61327754609,,1
123,2023-10-01,23262.96368118496,19409.301777250803,,1
124,2023-11-01,19571.33597869852,19325.406600575006,,1
125,2023-12-01,14464.44519936371,19281.56747509749,,1
126,2024-01-01,20215.90458021559,19292.42759593882,,1
127,2024-02-01,17865.1233894713,19327.618788052703,,1
128,2024-03-01,21272.25690724791,19352.012767203483,,1
129,2024-04-01,16796.32418466927,19352.70616286359,,1
130,2024-05-01,17465.014466692915,19339.012500463334,,1
131,2024-06-01,13908.47853387551,19326.636572398234,,1
108,2022-07-01,9695.26946080267,11746.01240685894,15892.0,5
109,2022-08-01,11398.585897902292,13002.69362302398,10228.0,5
110,2022-09-01,11366.720570798108,9838.173232819185,8534.0,5
111,2022-10-01,12205.15192795412,8608.955934624973,9186.0,5
112,2022-11-01,10591.567010348694,10051.644664059872,7806.0,5
113,2022-12-01,7850.838617583735,9531.41464404186,5903.0,5
114,2023-01-01,11163.580020590598,8324.302165213767,7672.0,5
115,2023-02-01,10067.487596788496,9655.404006891416,8845.0,5
116,2023-03-01,11361.044130842576,10650.418433296298,9200.0,5
117,2023-04-01,9975.64737663568,10514.446009860903,7664.0,5
118,2023-05-01,9869.82598074117,9391.445244762392,8223.0,5
119,2023-06-01,8739.778665441982,9689.622117765955,7761.0,5
120,2023-07-01,9661.431600636974,9682.918399177264,,5
121,2023-08-01,11242.984890785356,10722.658386597042,,5
122,2023-09-01,11190.112210976238,11375.869488356995,,5
123,2023-10-01,12044.985864369566,11390.620826489112,,5
124,2023-11-01,10456.59319846694,11197.42601946363,,5
125,2023-12-01,7774.627771392197,10965.559005632602,,5
126,2024-01-01,11129.074643334096,10830.70182837759,,5
127,2024-02-01,9977.65902116011,10791.284825339651,,5
128,2024-03-01,11615.80017144583,10812.880778082064,,5
129,2024-04-01,9871.47955946084,10850.782566339578,,5
130,2024-05-01,9735.33298404994,10879.723134597363,,5
131,2024-06-01,8522.24064757179,10892.02527220498,,5
108,2022-07-01,20337.75432625269,21553.205199444183,24084.0,6
109,2022-08-01,24745.48067819317,22164.115189116208,37087.0,6
110,2022-09-01,24077.90872484673,31530.376660968723,28188.0,6
111,2022-10-01,25856.88674634432,27610.85041667134,31450.0,6
112,2022-11-01,23761.398343614404,26468.581606617987,30283.0,6
113,2022-12-01,19253.814616212923,27854.00480255137,20713.0,6
114,2023-01-01,23698.028421864376,21601.34281132753,25379.0,6
115,2023-02-01,22821.930135282964,23141.486172686866,28220.0,6
116,2023-03-01,25115.02437154082,27417.91011973436,33678.0,6
117,2023-04-01,22895.63507125428,30894.11327683168,24500.0,6
118,2023-05-01,24438.31256249213,24919.18132607431,29400.0,6
119,2023-06-01,22113.421327490087,26251.06309934104,26219.0,6
120,2023-07-01,22988.71606733709,26632.044579842983,,6
121,2023-08-01,27376.707892797946,25925.140836718158,,6
122,2023-09-01,26625.874110426244,25682.48182019445,,6
123,2023-10-01,28503.54812436777,25643.389542428056,,6
124,2023-11-01,26456.600238935287,25696.578651251424,,6
125,2023-12-01,21966.45494781882,25791.600990606043,,6
126,2024-01-01,26510.63923249692,25905.587275360183,,6
127,2024-02-01,25444.802901174204,26028.17034359361,,6
128,2024-03-01,28324.41994468656,26154.650527360365,,6
129,2024-04-01,25625.38383559815,26282.89736135353,,6
130,2024-05-01,26760.69351292213,26411.945057675726,,6
131,2024-06-01,24538.91258394109,26541.355802925464,,6
108,2022-07-01,7542.465061217917,8381.903567931755,11182.0,7
109,2022-08-01,8664.129204777668,9303.956491307825,9520.0,7
110,2022-09-01,8086.684115866304,8480.942550034448,7917.0,7
111,2022-10-01,9006.014586988615,7687.145108481364,9391.0,7
112,2022-11-01,7947.181806728768,8417.06240657821,8148.0,7
113,2022-12-01,6283.752878174077,7801.535132809974,5798.0,7
114,2023-01-01,7934.565760089456,6637.827093103333,6694.0,7
115,2023-02-01,7277.274158845474,7081.521732923397,7118.0,7
116,2023-03-01,8408.315749313493,7291.484374981106,8317.0,7
117,2023-04-01,7283.079738169955,7885.22307268675,6310.0,7
118,2023-05-01,7715.450174645515,6891.366887286227,7345.0,7
119,2023-06-01,6822.435852040501,7403.893619667662,7066.0,7
120,2023-07-01,7658.637876374676,7265.734239634406,,7
121,2023-08-01,8713.777261037978,7364.64161855664,,7
122,2023-09-01,8137.103809085556,7413.620049211157,,7
123,2023-10-01,9068.524133285146,7437.873918796211,,7
124,2023-11-01,8017.309070967047,7449.884311574987,,7
125,2023-12-01,6395.8436209546335,7455.831796952304,,7
126,2024-01-01,8041.366226144551,7458.776961441506,,7
127,2024-02-01,7396.459523821908,7460.235391907183,,7
128,2024-03-01,8717.077868782386,7460.957599251124,,7
129,2024-04-01,7440.05881173755,7461.315232652179,,7
130,2024-05-01,7750.69012676835,7461.492330892211,,7
131,2024-06-01,6798.893192222724,7461.580029039335,,7
108,2022-07-01,15609.989052524636,15949.114026612038,18587.0,9
109,2022-08-01,18566.291825503955,17313.675466075285,25227.0,9
110,2022-09-01,18072.573713073336,21730.42629974888,21477.0,9
111,2022-10-01,19490.616792248416,19519.788000154364,22458.0,9
112,2022-11-01,18177.92357636872,20297.51117731158,22056.0,9
113,2022-12-01,15107.137604552192,20187.908144509754,15928.0,9
114,2023-01-01,17832.67415305829,16341.345669478598,18101.0,9
115,2023-02-01,16764.142654035644,17761.52903464844,19423.0,9
116,2023-03-01,19151.97861442528,18670.691094989845,23091.0,9
117,2023-04-01,17085.691080158194,21127.250646663317,16705.0,9
118,2023-05-01,18445.339900275478,17118.37381388487,20181.0,9
119,2023-06-01,16610.244402190532,19385.224986931466,17791.0,9
120,2023-07-01,17686.527562760184,17907.81058194027,,9
121,2023-08-01,20537.82169141075,18008.43579956725,,9
122,2023-09-01,20008.264917745164,18099.44583268409,,9
123,2023-10-01,21491.96294553382,18184.743805733924,,9
124,2023-11-01,20235.122890855844,18266.6484346233,,9
125,2023-12-01,17208.47867679217,18346.53719105052,,9
126,2024-01-01,19940.287510936712,18425.22838495783,,9
127,2024-02-01,18788.45292595544,18503.208146958616,,9
128,2024-03-01,21562.77528745487,18580.7652710184,,9
129,2024-04-01,19259.22977615498,18658.071319989296,,9
130,2024-05-01,20279.88215970392,18735.228213633265,,9
131,2024-06-01,18425.473207520125,18812.296499077795,,9
108,2022-07-01,13737.982562361334,13413.105858137662,14864.0,10
109,2022-08-01,15697.471796091402,14086.333195848636,16094.0,10
110,2022-09-01,15363.791787016711,14727.750411483412,14332.0,10
111,2022-10-01,17047.992165465177,13808.907213151317,15449.0,10
112,2022-11-01,14854.531080994211,14391.397481333468,14487.0,10
113,2022-12-01,11209.281784840065,13889.73621186952,8000.0,10
114,2023-01-01,15406.53613506478,10506.912246159927,12775.0,10
115,2023-02-01,14041.32693538026,12996.966884091686,14053.0,10
116,2023-03-01,15731.161511914035,13663.415015458551,16629.0,10
117,2023-04-01,14202.513079224258,15006.740826413985,14613.0,10
118,2023-05-01,14197.22578798508,13955.442365666257,15945.0,10
119,2023-06-01,12456.19046743103,14650.05027723172,11630.0,10
120,2023-07-01,14080.477582435022,12399.875248399148,,10
121,2023-08-01,15972.423760019665,12801.3477997929,,10
122,2023-09-01,15603.25868689418,13010.706666515478,,10
123,2023-10-01,17329.930037029997,13119.882586321695,,10
124,2023-11-01,15119.02955797585,13176.815362335085,,10
125,2023-12-01,11483.768286082415,13206.50451897644,,10
126,2024-01-01,15736.541115845064,13221.986743519075,,10
127,2024-02-01,14352.919009813098,13230.06037389141,,10
128,2024-03-01,16234.104653875434,13234.270589756034,,10
129,2024-04-01,14428.962256926285,13236.466122225229,,10
130,2024-05-01,14467.652319498333,13237.611042813216,,10
131,2024-06-01,12835.698535869671,13238.208093037338,,10
108,2022-07-01,26818.307884959097,31614.0,34160.0,13
109,2022-08-01,31432.0187490438,34160.0,41979.0,13
110,2022-09-01,30652.074436284616,41979.0,36117.0,13
111,2022-10-01,33300.1124395112,36117.0,35060.0,13
112,2022-11-01,29579.59403191112,35060.0,34019.0,13
113,2022-12-01,20164.265065288208,34019.0,17772.0,13
114,2023-01-01,28361.818980321645,17772.0,26530.0,13
115,2023-02-01,27335.313124544544,26530.0,28713.0,13
116,2023-03-01,31582.131835306427,28713.0,35886.0,13
117,2023-04-01,28427.73295898227,35886.0,27775.0,13
118,2023-05-01,28713.14007933375,27775.0,28734.0,13
119,2023-06-01,26024.88294910569,28734.0,23330.0,13
120,2023-07-01,27753.065570550345,23330.0,,13
121,2023-08-01,32275.8370919034,23330.0,,13
122,2023-09-01,31426.14239622656,23330.0,,13
123,2023-10-01,34121.348719322115,23330.0,,13
124,2023-11-01,30375.745606675515,23330.0,,13
125,2023-12-01,21014.53025375179,23330.0,,13
126,2024-01-01,29273.311539546536,23330.0,,13
127,2024-02-01,28263.853214918112,23330.0,,13
128,2024-03-01,32899.04938422378,23330.0,,13
129,2024-04-01,29262.720991044644,23330.0,,13
130,2024-05-01,29531.86832277096,23330.0,,13
131,2024-06-01,26959.494348547385,23330.0,,13
108,2022-07-01,24674.995597425976,25833.39862396922,24823.0,14
109,2022-08-01,31651.7285195833,26848.996347706438,29491.0,14
110,2022-09-01,28946.516305807763,29415.758759403958,22874.0,14
111,2022-10-01,32137.927763567957,25777.312555847293,25901.0,14
112,2022-11-01,27867.992429311475,27441.74910687737,27156.0,14
113,2022-12-01,19095.08673475583,28131.82769014224,12675.0,14
114,2023-01-01,26732.2117387682,20169.255607067727,20444.0,14
115,2023-02-01,24904.3877704579,24441.14446235437,27205.0,14
116,2023-03-01,28744.27144686217,28158.77099737728,29506.0,14
117,2023-04-01,25541.71376816615,29424.00671059836,24608.0,14
118,2023-05-01,26167.46922738145,26730.775713920026,30041.0,14
